,size (PNG),gzip size,JPG_95 size,JPG_75 size,JPG_50 size,JPG_25 size
179,39599,36977,18776,18723,14998,12093.0
180,39507,36843,18867,18817,15057,12120.0
181,39540,37035,18142,18094,14721,11918.0
182,39459,36855,18994,18933,15126,12173.0
183,38868,36278,18722,18676,14995,12068.0
184,39114,36477,18961,18902,15093,12146.0
185,38822,36249,18568,18543,14982,11998.0
186,38776,36242,19233,19163,15253,12265.0
187,38911,36244,19138,19057,15232,12245.0
188,38800,36288,19215,19140,15245,12275.0
189,38635,36062,19209,19158,15242,12241.0
190,38707,36008,19371,19311,15316,12278.0
191,38607,36025,19293,19224,15283,12289.0
192,38697,36091,19511,19452,15450,12365.0
193,38998,36392,19372,19333,15318,12289.0
194,38789,36111,19784,19733,15541,12442.0
195,38442,35850,19651,19629,15476,12389.0
196,38459,35830,20140,20123,15740,12615.0
197,37944,35274,20096,20047,15714,12602.0
198,37857,35225,20606,20562,16093,12829.0
199,37903,35324,20613,20564,16087,12826.0
200,38715,36042,21407,21318,16604,13151.0
